,Title,URL,Year,Rating,Actors,Director
74,Braveheart,http://www.imdb.com/title/tt0112573/,1995,8.3," Mel Gibson, Sophie Marceau",Mel Gibson 
75,Vertigo,http://www.imdb.com/title/tt0052357/,1958,8.3," James Stewart, Kim Novak",Alfred Hitchcock 
76,North by Northwest,http://www.imdb.com/title/tt0053125/,1959,8.3," Cary Grant, Eva Marie Saint",Alfred Hitchcock 
77,Kimi no na wa.,http://www.imdb.com/title/tt5311514/,2016,8.3," Ryûnosuke Kamiki, Mone Kamishiraishi",Makoto Shinkai 
78,Reservoir Dogs,http://www.imdb.com/title/tt0105236/,1992,8.3," Harvey Keitel, Tim Roth",Quentin Tarantino 
79,Star Wars: Episode VI - Return of the Jedi,http://www.imdb.com/title/tt0086190/,1983,8.3," Mark Hamill, Harrison Ford",Richard Marquand 
80,M - Eine Stadt sucht einen Mörder,http://www.imdb.com/title/tt0022100/,1931,8.3," Peter Lorre, Ellen Widmann",Fritz Lang 
81,Amadeus,http://www.imdb.com/title/tt0086879/,1984,8.3," F. Murray Abraham, Tom Hulce",Milos Forman 
82,Requiem for a Dream,http://www.imdb.com/title/tt0180093/,2000,8.3," Ellen Burstyn, Jared Leto",Darren Aronofsky 
83,Dangal,http://www.imdb.com/title/tt5074352/,2016,8.3," Aamir Khan, Sakshi Tanwar",Nitesh Tiwari 
84,3 Idiots,http://www.imdb.com/title/tt1187043/,2009,8.3," Aamir Khan, Madhavan",Rajkumar Hirani 
85,Toy Story,http://www.imdb.com/title/tt0114709/,1995,8.3," Tom Hanks, Tim Allen",John Lasseter 
86,2001: A Space Odyssey,http://www.imdb.com/title/tt0062622/,1968,8.3," Keir Dullea, Gary Lockwood",Stanley Kubrick 
87,Taare Zameen Par,http://www.imdb.com/title/tt0986264/,2007,8.3," Darsheel Safary, Aamir Khan",Aamir Khan 
88,Eternal Sunshine of the Spotless Mind,http://www.imdb.com/title/tt0338013/,2004,8.3," Jim Carrey, Kate Winslet",Michel Gondry 
89,Lawrence of Arabia,http://www.imdb.com/title/tt0056172/,1962,8.3," Peter O'Toole, Alec Guinness",David Lean 
90,A Clockwork Orange,http://www.imdb.com/title/tt0066921/,1971,8.3," Malcolm McDowell, Patrick Magee",Stanley Kubrick 
91,Singin' in the Rain,http://www.imdb.com/title/tt0045152/,1952,8.3," Gene Kelly, Donald O'Connor",Stanley Donen 
92,Amélie,http://www.imdb.com/title/tt0211915/,2001,8.3," Audrey Tautou, Mathieu Kassovitz",Jean-Pierre Jeunet 
93,Double Indemnity,http://www.imdb.com/title/tt0036775/,1944,8.3," Fred MacMurray, Barbara Stanwyck",Billy Wilder 
94,Inglourious Basterds,http://www.imdb.com/title/tt0361748/,2009,8.3," Brad Pitt, Diane Kruger",Quentin Tarantino 
95,Taxi Driver,http://www.imdb.com/title/tt0075314/,1976,8.3," Robert De Niro, Jodie Foster",Martin Scorsese 
96,Full Metal Jacket,http://www.imdb.com/title/tt0093058/,1987,8.3," Matthew Modine, R. Lee Ermey",Stanley Kubrick 
